상품명,상품설명,가격,할인정보,판매단위,중량/용량,배송구분,포장타입
[비비고] 왕교자 385g,야채와 돼지고기를 가득담아 만든 비비고 왕교자! 3천번 이상의 수타공법으로 쫄깃해요!,"4,200원",X,1봉,385g,샛별배송/택배배송,냉동/종이포장
[네이처밸리] 그래놀라 바 5종,식사대용으로 간판하게 즐기는 건강 스낵 바,"4,900원",X,1박스,42gX5개입,샛별배송/택배배송,냉장/종이포장
[존쿡 델리미트] 바베큐 백립 450g (냉동),훈연향 가득한 정통 바베큐 백립,"12,000원",20%,1개,450g,샛별배송/택배배송,냉동/종이포장
[유기방아] 떡볶이떡 & 떡국떡 (냉동),냉동상태 그대로 조리해서 먹는 쫀득함의 절정,"3,860원",10%,1봉,500g,샛별배송/택배배송,냉동/종이포장
[그라놀로지] 그래놀라 5종,"철학이 담긴 그래놀라, 청담동 그라놀로지 새롭게 리뉴얼!","9,900원",10%,1팩,150g,샛별배송/택배배송,냉장/종이포장
[고메] 크리스피 핫도그,빵 맛이 남다른 인기 핫도그,"6,980원",X,1봉지,80g*6(480g),샛별배송/택배배송,냉동/종이포장
[풀무원] 올바른 핫도그 5개입,재료부터 맛까지 이름처럼 올바른 핫도그 ,"6,300원",X,1봉(5개입),375g(75g*5개),샛별배송/택배배송,냉동/종이포장
[크레이브푸드] 시저 샐러드 200g,정통 미국식 샐러드의 깊은 맛,"5,015원",15%,1,총,샛별배송/택배배송,냉장/종이포장
[LOTS OF LOVE] 봄맛듬뿍 곤드레밥,강원도산 곤드레가 주는 깊은 풍미,"6,800원",X,1팩,230g,샛별배송/택배배송,냉동/종이포장
[플라하반] 오트밀 6종,고급 아이리쉬 귀리로 만든 오트밀 [신제품 입고],"14,400원",10%,1팩,옵션별,샛별배송/택배배송,상온/종이포장
[제이키친] 떡볶이 2종,언제나 성공하는 황금 비율의 맛,"5,900원",X,1팩,쌀떡볶이,샛별배송/택배배송,냉장/종이포장
[창화당] 납작 왕군만두 2종,"만두 잘하는집 , 창화당의 인기 만두 2종","7,950원",X,1봉,500g,샛별배송/택배배송,냉동/종이포장
[씨즐푸드] 우리밀 통등심 돈까스 (냉동),,"4,600원",X,1팩,260g(130g*2),샛별배송/택배배송,냉동/종이포장
[훅스] 유기농 씨리얼 2종,건강하게 즐기는 고소한 씨리얼,"4,500원",X,1봉,제품별상이(하단참조),샛별배송/택배배송,상온/종이포장
[Better me] 오리지널 닭가슴살 (냉장),"100g당 가격 : 1,650원 ","9,900원",X,1팩,600g,샛별배송/택배배송,냉장/종이포장
[바이오노바] 유기농 스위트콘 340g,네덜란드 청정 지역에서 올바르게 자란 NON-GMO 스위트콘!,"5,900원",X,1병,340g,샛별배송/택배배송,냉장/종이포장
[비비고] 김치 왕교자 385g,칼칼한 김치가 큼직하게 들어있는 비비고 김치 왕교자!,"4,500원",X,1봉,385g,샛별배송/택배배송,냉동/종이포장
